"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-05.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-17_23:50:32.csv 60",,,,"Date:","17 Jun 2019 23:50:33 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
18-06 00:22:33,1025257472.0,0.0,2308067328.0,640303104.0,87.332,5.062,7.606,0.0,0.0,0.0,28.100,0.0,0.0,102.400
18-06 00:23:33,1028919296.0,0.0,2308071424.0,636637184.0,87.128,5.219,7.645,0.0,0.0,0.008,28.100,0.0,0.0,179.200
18-06 00:24:33,1046822912.0,0.0,2308071424.0,618733568.0,89.479,4.885,5.636,0.0,0.0,0.0,26.0,0.0,0.0,247.467
18-06 00:25:33,1035014144.0,0.0,2308071424.0,630542336.0,87.901,4.711,7.388,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:26:33,1037950976.0,0.0,2308071424.0,627605504.0,87.620,5.202,7.178,0.0,0.0,0.0,28.200,2.200,0.0,213.333
18-06 00:27:33,1041760256.0,0.0,2308071424.0,623796224.0,86.718,5.178,8.104,0.0,0.0,0.0,26.0,0.0,0.0,1169.067
18-06 00:28:33,1044553728.0,0.0,2308071424.0,621002752.0,91.205,4.127,4.669,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:29:33,1047728128.0,0.0,2308071424.0,617828352.0,87.309,4.920,7.771,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:30:33,1051283456.0,0.0,2308071424.0,614273024.0,86.836,5.294,7.870,0.0,0.0,0.0,26.0,0.0,0.0,102.400
18-06 00:31:33,1056473088.0,0.0,2308071424.0,609083392.0,87.327,4.902,7.771,0.0,0.0,0.0,32.400,7.800,0.0,102.400
