"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_13:50:35.csv 60",,,,"Date:","11 Jun 2019 13:50:36 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
11-06 14:16:36,824934400.0,2138112.0,1807007744.0,1339547648.0,49.992,0.017,49.983,0.0,0.0,0.008,26.0,0.0,0.0,431513.600
11-06 14:17:36,835518464.0,2138112.0,1807257600.0,1328713728.0,75.530,0.685,23.734,0.008,0.0,0.042,27.400,0.0,0.0,439995.733
11-06 14:18:36,835518464.0,2138112.0,1807257600.0,1328713728.0,87.531,0.861,11.591,0.0,0.0,0.017,26.0,0.0,0.0,1493.333
11-06 14:19:36,835518464.0,2138112.0,1807257600.0,1328713728.0,87.457,0.920,11.606,0.0,0.0,0.017,26.0,0.0,0.0,102.400
11-06 14:20:36,836169728.0,2138112.0,1807261696.0,1328058368.0,74.137,0.585,25.261,0.0,0.0,0.017,26.0,0.0,0.0,469.333
11-06 14:21:36,836263936.0,2138112.0,1807261696.0,1327964160.0,50.008,0.008,49.983,0.0,0.0,0.0,26.0,0.0,0.0,432341.333
11-06 14:22:36,847503360.0,2138112.0,1807515648.0,1316470784.0,66.630,0.468,32.852,0.008,0.0,0.042,30.400,4.400,0.0,439637.333
11-06 14:23:36,847892480.0,2138112.0,1807515648.0,1316081664.0,87.503,0.921,11.559,0.0,0.0,0.017,26.0,0.0,0.0,2619.733
11-06 14:24:36,847638528.0,2138112.0,1807515648.0,1316335616.0,87.531,0.895,11.548,0.008,0.0,0.017,32.400,7.800,0.0,384.0
11-06 14:25:36,846966784.0,2138112.0,1807519744.0,1317003264.0,83.012,0.821,16.150,0.0,0.0,0.017,27.400,0.0,0.0,2432.0
11-06 14:26:36,847060992.0,2138112.0,1807519744.0,1316909056.0,50.004,0.017,49.971,0.0,0.0,0.008,26.0,0.0,0.0,431923.200
11-06 14:27:36,850219008.0,2138112.0,1807519744.0,1313751040.0,50.254,0.025,49.704,0.0,0.0,0.017,28.200,2.200,0.0,938.667
11-06 14:28:36,861933568.0,2138112.0,1807773696.0,1301782528.0,85.498,0.853,13.624,0.0,0.0,0.025,26.0,0.0,0.0,441497.600
11-06 14:29:36,861933568.0,2138112.0,1807773696.0,1301782528.0,87.591,0.787,11.613,0.0,0.0,0.008,27.400,0.0,0.0,358.400
11-06 14:30:36,861917184.0,2138112.0,1807777792.0,1301794816.0,87.583,0.845,11.556,0.008,0.0,0.008,28.200,2.200,0.0,409.600
11-06 14:31:36,861310976.0,2138112.0,1807777792.0,1302401024.0,63.848,0.384,35.743,0.0,0.0,0.025,26.0,0.0,0.0,430916.267
11-06 14:32:36,861503488.0,2138112.0,1807777792.0,1302208512.0,50.067,0.025,49.908,0.0,0.0,0.0,26.0,0.0,0.0,2201.600
11-06 14:33:36,871624704.0,2138112.0,1808031744.0,1291833344.0,56.637,0.283,43.022,0.0,0.0,0.058,26.0,0.0,0.0,213.333
11-06 14:34:36,871591936.0,2138112.0,1808031744.0,1291866112.0,84.997,0.974,13.987,0.0,0.0,0.042,26.0,0.0,0.0,441198.933
11-06 14:35:36,871464960.0,2138112.0,1808031744.0,1291993088.0,85.207,1.051,13.716,0.008,0.0,0.017,26.0,0.0,0.0,1066.667
11-06 14:36:36,871464960.0,2138112.0,1808031744.0,1291993088.0,85.363,1.023,13.580,0.0,0.0,0.034,26.0,0.0,0.0,537.600
11-06 14:37:36,871784448.0,2138112.0,1808031744.0,1291673600.0,63.740,0.376,35.868,0.008,0.0,0.008,26.0,0.0,0.0,429986.133
11-06 14:38:36,871911424.0,2138112.0,1808031744.0,1291546624.0,50.008,0.008,49.975,0.0,0.0,0.008,26.0,0.0,0.0,1706.667
11-06 14:39:36,872677376.0,2138112.0,1808031744.0,1290780672.0,49.992,0.033,49.975,0.0,0.0,0.0,29.600,2.200,0.0,102.400
