"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-14_02:08:53.csv 60",,,,"Date:","14 Jun 2019 02:08:54 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
14-06 02:38:54,1084743680.0,2138112.0,2741927936.0,144818176.0,91.740,0.334,7.826,0.0,0.0,0.100,32.400,7.800,0.0,1126.400
14-06 02:39:54,1084387328.0,2138112.0,2741932032.0,145170432.0,50.675,0.050,49.258,0.0,0.0,0.017,26.0,0.0,0.0,432170.667
14-06 02:40:54,1102962688.0,2138112.0,2725773312.0,142753792.0,71.159,0.225,28.590,0.0,0.0,0.025,27.400,0.0,0.0,580.267
14-06 02:41:54,1102995456.0,2138112.0,2725773312.0,142721024.0,91.814,0.276,7.844,0.0,0.0,0.067,26.0,0.0,0.0,442171.733
14-06 02:42:54,1102995456.0,2138112.0,2725773312.0,142721024.0,91.780,0.292,7.811,0.0,0.0,0.117,26.0,0.0,0.0,102.400
14-06 02:43:54,1102647296.0,2138112.0,2725773312.0,143069184.0,69.563,0.183,30.187,0.008,0.0,0.058,28.200,2.200,0.0,431086.933
14-06 02:44:54,1102774272.0,2138112.0,2725773312.0,142942208.0,49.996,0.008,49.971,0.0,0.0,0.025,26.0,0.0,0.0,1211.733
14-06 02:45:54,1117659136.0,2138112.0,2692972544.0,160858112.0,86.104,0.376,13.387,0.0,0.0,0.134,29.067,2.200,0.0,442538.667
14-06 02:46:54,1117659136.0,2138112.0,2692972544.0,160858112.0,91.772,0.292,7.811,0.0,0.0,0.125,25.133,0.0,0.0,2227.200
14-06 02:47:54,1117659136.0,2138112.0,2692972544.0,160858112.0,91.863,0.275,7.753,0.0,0.0,0.108,26.0,0.0,0.0,102.400
14-06 02:48:54,1117720576.0,2138112.0,2692976640.0,160792576.0,54.618,0.075,45.273,0.0,0.0,0.033,29.600,2.200,0.0,431112.533
