"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-11_23:17:48.csv 60",,,,"Date:","11 Jun 2019 23:17:49 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
11-06 23:45:49,867012608.0,2138112.0,2959421440.0,145055744.0,70.041,0.259,29.625,0.0,0.0,0.075,26.0,0.0,0.0,430182.400
11-06 23:46:50,881774592.0,2138112.0,2940854272.0,148860928.0,60.899,0.317,38.685,0.017,0.0,0.083,26.0,0.0,0.0,1638.400
11-06 23:47:50,882155520.0,2138112.0,2940854272.0,148480000.0,87.390,0.520,12.065,0.0,0.0,0.025,26.0,0.0,0.0,441770.667
11-06 23:48:50,882155520.0,2138112.0,2940858368.0,148475904.0,88.117,0.519,11.331,0.008,0.0,0.025,26.0,0.0,0.0,179.200
11-06 23:49:50,882212864.0,2138112.0,2940858368.0,148418560.0,87.716,0.452,11.781,0.008,0.0,0.042,27.400,0.0,0.0,264.533
11-06 23:50:50,882225152.0,2138112.0,2940858368.0,148406272.0,88.881,0.460,10.567,0.008,0.0,0.084,26.0,0.0,0.0,520.533
11-06 23:51:50,882225152.0,2138112.0,2940858368.0,148406272.0,88.721,0.527,10.719,0.017,0.0,0.017,29.700,2.900,0.0,102.400
11-06 23:52:50,882225152.0,2138112.0,2940858368.0,148406272.0,89.126,0.495,10.371,0.0,0.0,0.008,26.700,1.500,0.0,657.067
11-06 23:53:50,882376704.0,2138112.0,2940858368.0,148254720.0,65.003,0.243,34.738,0.008,0.0,0.008,27.400,0.0,0.0,430105.600
11-06 23:54:50,896917504.0,2138112.0,2941112320.0,133459968.0,55.878,0.175,43.922,0.0,0.0,0.025,26.0,0.0,0.0,1723.733
11-06 23:55:50,897478656.0,2138112.0,2941112320.0,132898816.0,88.686,0.545,10.752,0.0,0.0,0.017,26.0,0.0,0.0,440738.133
11-06 23:56:50,897736704.0,2138112.0,2941112320.0,132640768.0,87.962,0.511,11.494,0.0,0.0,0.034,28.200,2.200,0.0,1629.867
11-06 23:57:50,897613824.0,2138112.0,2941112320.0,132763648.0,88.942,0.418,10.598,0.008,0.0,0.033,26.0,0.0,0.0,102.400
11-06 23:58:50,897613824.0,2138112.0,2941112320.0,132763648.0,89.308,0.434,10.199,0.0,0.0,0.058,28.200,2.200,0.0,119.467
11-06 23:59:50,897613824.0,2138112.0,2941112320.0,132763648.0,89.092,0.418,10.422,0.008,0.0,0.059,26.0,0.0,0.0,520.533
12-06 00:00:50,897609728.0,2138112.0,2941116416.0,132763648.0,89.146,0.444,10.369,0.0,0.0,0.042,26.0,0.0,0.0,102.400
12-06 00:01:50,897060864.0,2138112.0,2941140992.0,133287936.0,74.668,0.401,24.906,0.008,0.0,0.017,27.400,0.0,409.600,430796.800
12-06 00:02:50,897155072.0,2138112.0,2941140992.0,133193728.0,50.0,0.017,49.975,0.0,0.0,0.008,26.0,0.0,0.0,8396.800
12-06 00:03:50,909910016.0,2138112.0,2903613440.0,157966336.0,75.252,0.359,24.264,0.008,0.0,0.117,27.400,0.0,0.0,439509.333
12-06 00:04:50,909910016.0,2138112.0,2903613440.0,157966336.0,89.695,0.476,9.679,0.0,0.0,0.150,26.0,0.0,0.0,1544.533
12-06 00:05:50,910295040.0,2138112.0,2903613440.0,157581312.0,89.710,0.451,9.680,0.0,0.0,0.159,26.0,0.0,0.0,102.400
12-06 00:06:50,910299136.0,2138112.0,2903613440.0,157577216.0,89.660,0.484,9.680,0.0,0.0,0.175,26.0,0.0,0.0,537.600
12-06 00:07:50,910299136.0,2138112.0,2903613440.0,157577216.0,89.701,0.492,9.656,0.008,0.0,0.142,32.400,7.800,0.0,179.200
12-06 00:08:50,910299136.0,2138112.0,2903613440.0,157577216.0,89.746,0.426,9.662,0.0,0.0,0.167,26.0,0.0,0.0,2346.667
12-06 00:09:50,909463552.0,2138112.0,2903613440.0,158412800.0,76.575,0.359,22.949,0.0,0.0,0.117,29.700,3.700,0.0,904.533
12-06 00:10:50,909574144.0,2138112.0,2903613440.0,158302208.0,49.987,0.017,49.987,0.0,0.0,0.008,26.0,0.0,0.0,432119.467
12-06 00:11:50,923586560.0,2138112.0,2903867392.0,144035840.0,62.730,0.217,36.978,0.0,0.0,0.075,26.0,0.0,0.0,440576.0
12-06 00:12:50,923586560.0,2138112.0,2903867392.0,144035840.0,89.714,0.460,9.693,0.0,0.0,0.134,27.400,0.0,0.0,2594.133
12-06 00:13:50,923586560.0,2138112.0,2903867392.0,144035840.0,89.773,0.442,9.635,0.008,0.0,0.142,28.200,2.200,0.0,375.467
12-06 00:14:50,923586560.0,2138112.0,2903867392.0,144035840.0,89.678,0.459,9.696,0.0,0.0,0.167,26.0,0.0,0.0,102.400
12-06 00:15:50,923586560.0,2138112.0,2903867392.0,144035840.0,89.692,0.459,9.699,0.0,0.0,0.150,28.200,2.200,0.0,537.600
12-06 00:16:50,923553792.0,2138112.0,2903867392.0,144068608.0,89.688,0.467,9.678,0.008,0.0,0.159,26.0,0.0,0.0,102.400
12-06 00:17:50,923897856.0,2138112.0,2903871488.0,143720448.0,89.165,0.459,10.242,0.0,0.0,0.134,26.0,0.0,0.0,315.733
12-06 00:18:49,924024832.0,2138112.0,2903871488.0,143593472.0,50.0,0.017,49.975,0.0,0.0,0.008,27.400,0.0,0.0,431317.333
12-06 00:19:49,924024832.0,2138112.0,2903871488.0,143593472.0,50.004,0.008,49.979,0.0,0.0,0.008,26.0,0.0,0.0,1211.733
12-06 00:20:50,938835968.0,2138112.0,2904125440.0,128528384.0,79.411,0.409,20.047,0.0,0.0,0.133,26.0,0.0,0.0,439603.200
12-06 00:21:50,938835968.0,2138112.0,2904125440.0,128528384.0,89.716,0.434,9.701,0.008,0.0,0.142,26.0,0.0,0.0,2551.467
12-06 00:22:50,938831872.0,2138112.0,2904129536.0,128528384.0,89.706,0.467,9.669,0.0,0.0,0.159,26.0,0.0,0.0,213.333
12-06 00:23:50,938831872.0,2138112.0,2904129536.0,128528384.0,89.720,0.442,9.679,0.0,0.0,0.159,26.0,0.0,0.0,1083.733
12-06 00:24:50,938831872.0,2138112.0,2904129536.0,128528384.0,89.712,0.484,9.662,0.0,0.0,0.142,26.0,0.0,0.0,102.400
12-06 00:25:50,938700800.0,2138112.0,2904133632.0,128655360.0,89.711,0.451,9.688,0.008,0.0,0.142,26.0,0.0,0.0,102.400
12-06 00:26:49,939814912.0,2138112.0,2866511872.0,165163008.0,72.278,0.292,27.338,0.0,0.0,0.092,30.400,4.400,0.0,430190.933
12-06 00:27:49,939958272.0,2138112.0,2866511872.0,165019648.0,49.996,0.025,49.979,0.0,0.0,0.0,26.0,0.0,0.0,2542.933
12-06 00:28:49,940150784.0,2138112.0,2866511872.0,164827136.0,49.992,0.025,49.975,0.0,0.0,0.008,26.0,0.0,0.0,102.400
12-06 00:29:50,952791040.0,2138112.0,2866765824.0,151932928.0,84.227,0.534,15.090,0.0,0.0,0.150,28.800,0.0,0.0,439901.867
12-06 00:30:50,952791040.0,2138112.0,2866765824.0,151932928.0,89.713,0.451,9.686,0.0,0.0,0.150,28.200,2.200,0.0,2176.0
12-06 00:31:50,953167872.0,2138112.0,2866769920.0,151552000.0,89.634,0.509,9.715,0.0,0.0,0.142,32.400,7.800,0.0,580.267
12-06 00:32:50,953040896.0,2138112.0,2866769920.0,151678976.0,89.706,0.442,9.685,0.008,0.0,0.159,26.0,0.0,0.0,1450.667
12-06 00:33:50,953040896.0,2138112.0,2866769920.0,151678976.0,89.680,0.450,9.711,0.0,0.0,0.159,28.200,2.200,0.0,102.400
12-06 00:34:50,953040896.0,2138112.0,2866769920.0,151678976.0,89.672,0.467,9.702,0.0,0.0,0.159,26.0,0.0,0.0,110.933
12-06 00:35:49,953061376.0,2138112.0,2866769920.0,151658496.0,67.495,0.234,32.196,0.008,0.0,0.067,26.0,0.0,0.0,430114.133
12-06 00:36:49,953188352.0,2138112.0,2866769920.0,151531520.0,50.004,0.008,49.979,0.0,0.0,0.008,26.0,0.0,0.0,1433.600
12-06 00:37:49,953315328.0,2138112.0,2866769920.0,151404544.0,50.004,0.008,49.979,0.0,0.0,0.008,26.0,0.0,0.0,102.400
