"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","g02-01.lsd.di.uminho.pt",,,,"User:","admin"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-14_13:35:16.csv 60",,,,"Date:","14 Jun 2019 13:35:16 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
14-06 13:49:16,966012928.0,2138112.0,2866499584.0,138977280.0,71.766,0.334,27.800,0.0,0.0,0.100,26.0,0.0,0.0,431027.200
14-06 13:50:16,974352384.0,2138112.0,2796834816.0,200302592.0,82.882,0.567,16.351,0.058,0.0,0.142,33.800,7.800,273.067,444228.267
14-06 13:51:16,974352384.0,2138112.0,2796834816.0,200302592.0,89.615,0.467,9.751,0.008,0.0,0.158,26.0,0.0,0.0,1416.533
14-06 13:52:16,974352384.0,2138112.0,2796834816.0,200302592.0,89.578,0.459,9.780,0.0,0.0,0.183,27.400,0.0,0.0,102.400
14-06 13:53:16,974352384.0,2138112.0,2796834816.0,200302592.0,89.622,0.450,9.787,0.0,0.0,0.142,26.0,0.0,0.0,128.0
14-06 13:54:16,974336000.0,2138112.0,2796834816.0,200318976.0,89.604,0.451,9.787,0.008,0.0,0.150,26.0,0.0,0.0,520.533
14-06 13:55:16,974225408.0,2138112.0,2796834816.0,200429568.0,89.588,0.475,9.762,0.0,0.0,0.175,26.0,0.0,0.0,110.933
14-06 13:56:16,974737408.0,2138112.0,2822606848.0,174145536.0,69.416,0.259,30.234,0.0,0.0,0.092,29.600,2.200,273.067,332.800
14-06 13:57:16,988610560.0,2138112.0,2822860800.0,160018432.0,74.962,0.358,24.562,0.0,0.0,0.117,28.200,2.200,273.067,869819.733
14-06 13:58:16,988303360.0,2138112.0,2822860800.0,160325632.0,89.586,0.442,9.805,0.008,0.0,0.158,26.0,0.0,0.0,2653.867
14-06 13:59:16,988303360.0,2138112.0,2822860800.0,160325632.0,89.595,0.450,9.780,0.0,0.0,0.175,26.0,0.0,0.0,102.400
14-06 14:00:16,988303360.0,2138112.0,2822860800.0,160325632.0,89.497,0.492,9.811,0.0,0.0,0.200,26.0,0.0,0.0,102.400
14-06 14:01:16,989442048.0,2138112.0,2822864896.0,159182848.0,89.586,0.459,9.747,0.008,0.0,0.200,28.200,2.200,273.067,2414.933
14-06 14:02:16,989310976.0,2138112.0,2822868992.0,159309824.0,89.566,0.442,9.801,0.008,0.0,0.183,26.0,0.0,0.0,2414.933
14-06 14:03:16,993251328.0,2138112.0,2848641024.0,129597440.0,77.422,0.367,22.103,0.0,0.0,0.108,28.200,2.200,0.0,401.067
14-06 14:04:16,1001623552.0,2138112.0,2814439424.0,155426816.0,56.371,0.183,43.346,0.067,0.0,0.033,26.0,0.0,0.0,872755.200
14-06 14:05:16,1001623552.0,2138112.0,2814439424.0,155426816.0,89.742,0.401,9.832,0.0,0.0,0.025,26.0,0.0,0.0,1416.533
14-06 14:06:16,1001619456.0,2138112.0,2814443520.0,155426816.0,89.619,0.426,9.796,0.0,0.0,0.159,26.0,0.0,0.0,776.533
14-06 14:07:16,1001492480.0,2138112.0,2814443520.0,155553792.0,89.615,0.442,9.809,0.0,0.0,0.133,26.0,0.0,0.0,1152.0
14-06 14:08:16,1001492480.0,2138112.0,2814443520.0,155553792.0,89.541,0.508,9.767,0.008,0.0,0.175,26.0,0.0,0.0,102.400
14-06 14:09:16,1001492480.0,2138112.0,2814443520.0,155553792.0,89.636,0.409,9.789,0.0,0.0,0.167,26.0,0.0,0.0,102.400
14-06 14:10:16,1001603072.0,2138112.0,2814443520.0,155443200.0,89.583,0.467,9.800,0.008,0.0,0.142,26.0,0.0,0.0,256.0
14-06 14:11:16,1002446848.0,2138112.0,2814443520.0,154599424.0,56.329,0.108,43.529,0.0,0.0,0.033,26.0,0.0,0.0,430813.867
