"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","barreira"
"Cmdline:","dstat --time -m --cpu --net --disk --output 2019-06-13_17:59:37.csv 60",,,,"Date:","13 Jun 2019 17:59:38 WEST"

"system","memory usage",,,,"total cpu usage",,,,,,"net/total",,"dsk/total",
13-06 18:19:38,1171030016.0,167936.0,2601578496.0,181407744.0,77.500,4.465,17.993,0.0,0.0,0.042,7.700,23.633,0.0,1442.133
13-06 18:20:38,1171222528.0,167936.0,2601578496.0,181215232.0,56.674,1.311,41.982,0.0,0.0,0.033,3.300,15.900,0.0,431667.200
13-06 18:21:38,1171349504.0,167936.0,2601578496.0,181088256.0,49.983,0.058,49.942,0.0,0.0,0.017,2.100,6.433,0.0,1254.400
13-06 18:22:38,1182142464.0,167936.0,2601832448.0,170041344.0,74.614,4.267,21.060,0.008,0.0,0.050,29.700,164.467,0.0,440823.467
13-06 18:23:38,1182142464.0,167936.0,2601832448.0,170041344.0,76.958,4.612,18.397,0.0,0.0,0.034,5.500,17.567,0.0,1280.0
13-06 18:24:38,1182490624.0,167936.0,2601840640.0,169684992.0,53.998,0.893,45.083,0.0,0.0,0.025,10.0,22.600,0.0,433049.600
13-06 18:25:38,1182490624.0,167936.0,2601840640.0,169684992.0,49.962,0.058,49.971,0.0,0.0,0.008,2.100,6.433,0.0,153.600
13-06 18:26:38,1196474368.0,167936.0,2602094592.0,155447296.0,68.275,3.622,28.061,0.0,0.0,0.042,26.400,86.133,0.0,441984.0
13-06 18:27:38,1196363776.0,167936.0,2602094592.0,155557888.0,76.234,4.527,19.214,0.0,0.0,0.025,5.500,17.567,0.0,1510.400
13-06 18:28:38,1200295936.0,167936.0,2602098688.0,151621632.0,59.412,1.645,38.910,0.008,0.0,0.025,5.500,21.967,0.0,430054.400
13-06 18:29:38,1200418816.0,167936.0,2602102784.0,151494656.0,49.979,0.067,49.937,0.0,0.0,0.017,2.100,6.433,0.0,2884.267
13-06 18:30:38,1211949056.0,167936.0,2602356736.0,139710464.0,56.823,1.588,41.548,0.0,0.0,0.042,24.200,80.067,0.0,435.200
13-06 18:31:38,1211346944.0,167936.0,2602356736.0,140312576.0,77.165,4.590,18.211,0.0,0.0,0.034,5.500,17.567,0.0,441489.067
13-06 18:32:38,1214967808.0,167936.0,2602356736.0,136691712.0,71.966,3.675,24.326,0.0,0.0,0.033,7.700,28.033,0.0,187.733
13-06 18:33:38,1215000576.0,167936.0,2602356736.0,136658944.0,49.971,0.083,49.929,0.0,0.0,0.017,2.100,6.433,0.0,431052.800
13-06 18:34:38,1215000576.0,167936.0,2602356736.0,136658944.0,49.979,0.058,49.946,0.0,0.0,0.017,2.100,6.433,0.0,938.667
